Cliente,cod articolo,mean,std,mean_differenza_giorni
DIAMANT,39501DN,100.0,0.0,26.0
DIAMANT,39502DN-14446,80.4,67.84762339242252,35.0
DIAMANT,39502DN-14822,22.0,0.0,26.0
DIAMANT,39502DN-61,30.0,0.0,20.0
DIAMANT,39502DN-colori vari,8.0,2.8284271247461903,26.0
DIAMANT,39502DN2,34.0,30.700162866017504,35.0
DIAMANT,94003DN-5000,8.5,5.196152422706632,26.0
DIAMANT,94003DN-Q5143,8.0,0.0,26.0
DIAMANT,94003DN-Q7175,4.6,3.2093613071762426,26.0
DIAMANT,94003DN-Q7299,5.428571428571429,4.429339411136565,38.0
DIAMANT,94003DN-Q7300,1.0,0.0,26.0
DIAMANT,X22-39503DN490,9.4,4.39317652729776,22.0
DIAMANT,X24-39501V2DN-W73,23.0,18.384776310850235,26.0
DUELEGS,X23-3399S+ZF,100.0,0.0,26.0
DUELEGS,X23-4493S+ZF,345.0,120.20815280171308,26.0
EREBUS,2221ZN,6.0,0.0,26.0
EREBUS,2255ZN2,6.0,0.0,26.0
ESTAMBRIL TEXTILES INTERNATIONAL S.L.,S600A07DN,37.0,0.0,26.0
FALKE,2277DN,385.0,170.0490125424628,97.0
FALKE,2277DN mini,500.0,0.0,101.0
FALKE,749DN mini,280.0,226.27416997969522,26.0
FALKE,ManilaZN1,137.5,24.748737341529164,26.0
FALKE,X20-2219ZF1,85.0,63.63961030678928,66.0
FALKE,X21-2268DN,120.0,0.0,26.0
FALKE,X22-2005V2ZN vari co,26.0,18.384776310850235,44.0
FALKE,X22-2005V2ZN1,27.0,0.0,26.0
FALKE,X22-2005V2ZN2100,27.0,0.0,39.0
FALKE,X23-3398V2S+ZN,10.0,0.0,26.0
FALKE,X24-1301V2S+ZN mini,15.0,7.0710678118654755,26.0
FEIN ELAST GRABHER,10353ZF,380.0,0.0,26.0
FEIN ELAST GRABHER,10985ZF,800.0,0.0,26.0
FEIN ELAST GRABHER,11007SF 2 cicli,290.0,155.56349186104046,63.0
FEIN ELAST GRABHER,X22-1703DN,275.0,247.48737341529164,26.0
FF,4461SF,207.0,9.899494936611665,12.0
FGP,15611DN,90.0,0.0,4.0
FGP,31003DN220274,970.0,411.33927602406266,122.0
FGP,31003DN9000,110.0,0.0,26.0
FGP,31004DN220379,420.0,238.74672772626644,1.0
FGP,X22-31002V7DN1018,1.0,0.0,26.0
FGP,X22-31002V7DN_1,425.0,176.7766952966369,96.0
FGP,X23-31094DN3813,550.0,0.0,102.0
FGP,X24-15601S+ZF colora,50.0,0.0,26.0
FGP,X24-2202S+Z colorati,149.5,74.24621202458749,26.0
FILTRADING,X21-1796ZN,70.0,0.0,26.0
FISHER & PAYKEL,S19-60064V3DN-U427,80.0,0.0,26.0
FISHER & PAYKEL,X21-39599V7DN0332,193.33333333333334,5.77350269189626,58.0
FISHER & PAYKEL,X21-39599V7DN0333,192.5,5.000000000000003,58.0
FOCENZA FACTORY,4424S+ZN/F,220.0,0.0,26.0
FOCENZA FACTORY,4424ZN,70.0,14.142135623730951,1.0
FRITSCHE,S14-60003V2DN 23h,1184.6666666666667,707.2217945359622,52.0
FRITSCHE,S21-60082DNB,70.0,0.0,69.0
FRITSCHE,S21-60090DN100,192.5,208.59650045003153,26.0
FRITSCHE,X23-8397DN,1250.0,0.0,26.0
FROHN GMBH,S14-60005V2DN,39.0,0.0,26.0
FROHN GMBH,S600A03DN,75.0,0.0,26.0
GI TESSIL FODERAMI,2254ZN,333.3333333333333,326.5986323710904,29.0
GIZETA,13007ZF 903C 14000,790.0,1008.6492618018086,5.0
GIZETA,4407DN,166.33333333333334,96.33399241824297,5.0
GIZETA,7036ZN,318.52941176470586,218.73046131227892,13.0
GIZETA,X17-7895S+ZN,236.66666666666666,106.92676621563626,14.0
GIZETA,X23-2295S+ZN,330.0,0.0,26.0
GREENFLEX BV,s22-700011DN,120.0,0.0,26.0
GT 2000,2218ZN,414.0,0.0,1.0
GUSTAV GERSTER,S22-120027DN2,12.0,0.0,26.0
GUSTAV GERSTER,S22-120027V2DN2,5.0,0.0,26.0
HEXONIA GMBH,S18-200017DN2,17.5,17.67766952966369,26.0
INNOTECT,S18-120019DN,225.0,0.0,6.0
INNOVAKNIT,S18-200014DN,10.0,0.0,26.0
INVENTEX,S15-160018DN,587.0,0.0,20.0
JACOB ROHNER,S18-160040DN,0.0,0.0,26.0
LANIFICIO CAVERNI SRL,2236ZN,195.0,0.0,26.0
LANIFICIO FALIERO SARTI,1723ZN1,37.5,20.506096654409877,5.0
MAGLIFICIO FASIROTEX,7005ZN2+ZN1,20.0,0.0,26.0
