codarticolo,descrizione,anima,copertura,spire_reali,velocita calcolata,kg_ora,spandex,ciclo,no_cicli,ore_levata,Divisore,peso elastomero,Peso spola,programma ribobinatura S,programma ribobinatura Z,programma termofissaggio,kw tempo,kw percentuale,fine validita
20098DN,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)",Lycra 200 902C,44f13x2 test. PA 66,950,14500,"1,71","4,09",5 x 1 gg + 22 h (230),3,46,,922,400,,44,,,,
20098DN-VARI COL,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)",Lycra 200 902C,44f13x2 test. PA 66  vari colori,950,14500,"1,71","4,09",5 x 1 gg + 22 h (230),3,46,,922,400,,44,,,,
20099ZF,"Ly 200/33f20 Z tpm 900 st. 4,5 (EF)",Lycra 200 902C,33f20 test. S PA 66,900,14000,"1,86","3,88",2 x 4 gg + 22 h (238),2,119,,922,405,,96,4,,,
2011DN,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,13f10 parallelo PA 66,2340,21000,"0,25","0,35",2 x 14 gg + 23 h (718),2,359,,268,310,,29,,,,
2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,13f10 parallelo PA 66 mispole,2340,21000,"0,25","0,35",2 x 14 gg + 23 h (718),2,359,,268,310,,29,,10:00:00,"0,2",
2012S+ZN,"Ly 20/13f14 S+Z  tpm 1400 st. 2,9 (CL)",Lycra 20 77FF,13f14 parallelo PA 66,1400,18500,"0,43","0,55",2 x 9 gg + 20 h (470),2,235,,258,264,36,17,,,,
2013S+ZN,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)",Lycra 20 77FF,13f10 parallelo PA 66,1400,18500,"0,43","0,55",2 x 9 gg + 20 h (470),2,235,,258,264,36,17,,,,
2013S+ZN mini,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)",Lycra 20 77FF,13f10 parallelo PA 66 minispole,1400,18500,"0,43","0,55",2 x 9 gg + 20 h (470),2,235,,258,264,36,17,,,,
2202ZF,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 22 H350,22f7 test. S PA66,1000,18900,"0,89","0,78",5 x 5 gg + 21 h (705),5,141,,550,370,,3,3,,,
2202ZN,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 22 H350,22f7 test. S PA66,1000,18900,"0,89","0,78",5 x 5 gg + 21 h (705),5,141,,550,370,,3,,,,
2202ZN/F 17200,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 22 H350,22f7 test. S PA66,1000,17200,"0,81","0,71",5 x 6 gg + 11 h (775),5,155,,550,370,,3,3,,,
2204ZF1,"Ly22/13f5 Z tpm 1300 st. 3,8 (DI)",Lycra 22 16AL,13f5 text S PA 66,1300,20200,"0,48","0,55",3 x 7 gg + 22 h (570),3,190,,320,255,,1,3,,,
2205S+ZN,"Ly 22/8f5 S+Z tpm 2800 st. 3,6 (DG)",Lycra 22 16AL,8f5 parallelo PA 66,2700,20000,"0,17","0,26",3 x 16 gg + 15 h (1196),3,"398,67",,320,160,54,55,,,,
2211ZF,"Roica 22/44f24 Z tpm 1000 st. 3,2 (DC)",Roica 22 B845,44f24 cupro,1000,12300,"0,93","0,47",6 x 7 gg + 10 h (1071),6,"178,5",,510,570,,42,11,,,
2218ZN,"Ly22/22f7 Z  tpm 1000 st. 3,8 (DI)",Lycra 22 16AL,22f7 test. S PA66,950,18700,"0,87","0,66",4 x 4 gg + 23 h (475),4,"118,75",,320,330,,3,,,,
2221ZN,"Cr22/44f13 Z tpm 800 st. 3,2 (DC)",Creora 22 H350,44f13 test. S PA 66,800,15000,"1,51","0,73",10 x 3 gg (725),3,"24,16",,550,380,,53,,,,
2223DN,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)",Creora 22 H350,8f5 parallelo PA 66,2000,20500,"0,18","0,4",3 x 18gg + 22 h (1362),3,454,,550,245,,4,,,,
2223DN mini,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)",Creora 22 H350,8f5 parallelo PA 66 minispole,2000,20500,"0,18","0,4",3 x 18gg + 22 h (1362),3,454,,550,245,,4,,,,
2226ZN2,"Ly22/44f34 S+Z tpm 1000 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. Z  PA 66 nero,900,18000,"1,6","0,71",6 x 3 gg + 2 h (442),6,"73,67",,320,410,,23,,,,
2235ZN,"Ro 22/13f5 Z tpm 1750 st. 3,2 (DC)",Roica 22 B845,13f5 test. S PA 66,1650,20200,"0,38","0,48",4 x 11 gg (1055),4,"263,75",,510,270,,1,,,,
2236S-ZN1,"Cr22/44f34 S+Z tpm 900 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,900,15500,"1,35","0,68",9 x 3 gg +18 h (810),9,90,,550,430,,53,,,,
2236ZN,"Cr22/44f34 Z tpm 900 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,900,15500,"1,35","0,68",9 x 3 gg +18 h (810),9,90,,550,430,,53,,,,
2238ZN,"Ro22/22f7 Z tpm  1500 st. 3,2 (DC)",Roica 22 B845,22f7 test. S PA66,1420,20200,"0,65","0,55",5 x 7 gg + 14 h (908),5,"181,6",,510,361,,3,,,,
2242ZF,"Ro22/56f30 Z tpm 1000 st. 3,2 (DC)",Roica 22 B845,56f30 cupro,1000,12300,"1,24","0,51",7 x 5 gg + 21 h (989),7,"141,29",,510,590,,42,11,,,
2245ZN,"Ro22/40f40 Z tpm 580 st. 3,2 (DC)",Roica 22 B845,40f40 test. S PA 66,580,10800,"1,4","0,77",4 x 6 gg + 19 h (653),4,"163,25",,510,770,,23,,,,
2246S+ZN,"Cr22/60f60 S+Z tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,13500,"2,96","1,03",7 x 3 gg + 4 h (530),7,76,,550,775,16,23,,,,
2246SN,"cr22/60f60 S tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,13500,"2,96","1,03",7 x 3 gg + 4 h (530),7,76,,550,775,16,,,,,
2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,10800,"2,38","0,85",7 x 3 gg + 20 h (646),7,93,,550,755,,23,,,,
2246ZN 13500,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,13500,"2,96","1,03",7 x 3 gg + 2 h (517),7,74,,550,755,,23,,,,
2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,11f5 miracosmo PA 6,1400,18400,"0,4","0,65",2 x 13 gg + 19 h (662),2,331,,435,300,36,17,,,,
2250SN,"KL22/11f5 S tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,11f5 miracosmo PA 6,1400,18400,"0,4","0,65",2 x 13 gg + 19 h (662),2,331,,435,300,36,,,,,
2250ZN,"KL22/11f5 Z tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,11f5 miracosmo PA 6,1400,18400,"0,4","0,65",2 x 13 gg + 19 h (662),2,331,,435,300,,17,,,,
2252DN,"Ly22/22f20/40f40 DC tpm 900 st. 3,6 (DG)",Lycra 22 16AL,22f20 Z PA 66 + 40f40 S PA 66,900,17100,"1,04","0,67",3 x 6 gg + 15 h (478),3,"159,33",,320,,,14,,,,
2253SF,"Ly22/44f34 S  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,16,,3,,,
2253ZF,"Ly22/44f34 Z  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,,23,3,,,
2253ZF2,"Ly22/44f34 Z  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,,23,3,,,
2253ZN,"Ly22/44f34 Z  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,,23,,,,
2254S+ZN,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,580,12700,"1,72","0,9",4 x 5 gg + 19 h ( 556),4,139,,550,810,,23,,,,
2254S+ZN-11000,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,580,11000,"1,49","0,78",4 x 6 gg + 16 h ( 641),4,160,,550,810,,23,,,,
2254SN,"Cr22/44f34 S tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. Z PA 66,580,12700,"1,72","0,9",4 x 5 gg + 19 h ( 556),4,139,,550,810,16,,,,,
2254SN-11000,"Cr22/44f34 S tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. Z PA 66,580,11000,"1,49","0,78",4 x 6 gg + 16 h ( 641),4,160,,550,810,16,,,,,
2254ZN,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,580,12700,"1,72","0,9",4 x 5 gg + 19 h ( 556),4,139,,550,810,,23,,,,
2254ZN-11000,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,580,11000,"1,49","0,78",4 x 6 gg + 16 h ( 641),4,160,,550,810,,23,,,,
2254ZN-11400,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,580,11400,"1,53","0,77",4 x 6 gg + 17 h (464),4,161,,550,850,,23,,,,
2255ZN2,"Cr22/44f10 Z tpm 1000 st.3,2 (DC)",Creora 22 H350,44f10 test. S  PA 6 nero,900,13600,"1,22","0,59",12 x 2 gg + 23 h (847),12,71,,550,395,,53,,,,
2256ZN,"Ly20/44f34 Z tpm 500 st. 3,0 (DA)",Lycra 20 188C,44f34 test. S PA 66,500,11400,"1,86","0,93",2 x 5 gg + 21 h (283),2,"141,5",,268,895,,53,,,,
2261S+ZN,"Cr22/78f68 SZ tpm 600 st. 3,2 (DC)",Creora 22 H350,78f68 test. S+Z PA 66,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,23,23,,,,
2261ZN,"Cr22/78f68 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,78f68 test. Z PA 66,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,,23,,,,
2261ZN-B10A,"Cr22/78f68 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,78f68 test. Z  PA 6 pink B10A,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,,23,,,,
2261ZN2,"Cr22/78f70 nero Z tpm 600 st. 3,2 (DC)",Creora 22 H350,78f70 test. S PA 6 nero,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,,23,,,,
2263S+ZN,"Cr22/17f7 S+Z  tpm 1400 stiro 3,12 (DBC)",Creora 22 H350,17f7 test. S+Z PA 66,1380,18000,"0,49","0,52",4 x 9 gg + 21 h (949),4,"237,3",,550,,16,23,,,,
2264ZN,"Ly22/78f46 Z tpm 550 st. 3,8 (DI)",Lycra 22 16AL,78f46 test. Z tipo 4 PA 66,550,12700,"3,1","0,77",6 x 2 gg + 19 h (405),6,"67,5",,320,765,,23,,,,
2265S+ZN2,"Cr22/50f34 S+Z tpm 1000 st. 3,2 (DC)",creora 22 H350,50f34 test. S PA 66 nero,955,14000,"1,33","0,58",8 x 4 gg + 23 h (952),8,119,,550,550,16,23,,,,
2265SN2,"Cr22/50f34 S tpm 1000 st. 3,2 (DC)",creora 22 H350,50f34 test. S PA 66 nero,955,14000,"1,33","0,58",8 x 4 gg + 23 h (952),8,119,,550,550,16,23,,,,
2265ZN2,"Cr22/50f34 Z tpm 1000 st. 3,2 (DC)",creora 22 H350,50f34 test. S PA 66 nero,955,14000,"1,33","0,58",8 x 4 gg + 23 h (952),8,119,,550,550,16,23,,,,
2266S+ZN,"Cr22/19f6 S+Z  tpm 1750 st. 3,2 (DC)",Creora 22 H350,19f6 test. S+Z PA 66,1650,21000,"0,52","0,5",6 x 7 gg (1006),6,"167,67",,550,310,15,37,,,,
2267S+ZN,"Fusion 20/11f7 s+Z tpm 1600 st. 3,2 (DC)",Lycra 20 77FF,11f7 POY PA 66,1500,19800,"0,36","0,5",2 x 10 gg + 20 h (520),2,260,,258,240,2,1,,,,
2268S+ZN,"K22/22f20 S+Z tpm 2300 st. 2,8 (CI)",Mobilon 22 K,22f20 test. S+Z PA 66,2200,16000,"0,04","0,36",3 x 15 gg + 22 h (1149),3,"382,93",,440,405,2,1,,,,
2269ZF2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)",creora 22 H350,22f10 test. S nero PA 66,1050,16000,"0,8","0,72",5 x 5 gg + 21  h (706),4,"176,5",,550,345,,3,9,,,
2269ZN/F2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)",Creora 22 H350,22f10 test. S nero PA 66,1050,16000,"0,8","0,72",5 x 5 gg + 21  h (706),4,"176,5",,550,345,,3,9,,,
2269ZN2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)",Creora 22 H350,22f10 test. S nero PA 66,1050,16000,"0,8","0,72",5 x 5 gg + 21  h (706),4,"176,5",,550,345,,3,,,,
2270,"Ly156/33f10 Z tpm 900 st. 4,3 (ED)",Lycra 156 162C,33f10 test. S PA 66,900,16100,"1,95","3,9",3 x 3 gg + 19 h (273),3,91,,1063,338,,36,9,10:00:00,"0,5",
2270S+ZN,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,17,36,,10:00:00,"0,5",
2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6,1810,19800,"0,34","0,54",2 x 16gg + 20 h (806),2,403,,435,300,17,36,,10:00:00,"0,5",
2270S+ZN mini,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6 minispole,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,17,36,,10:00:00,"0,5",
