Cliente,n. ordine interno,codarticolo,descrizione,quantità,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
CALZIFICIO ATHENA,152,X22-7810S-ZN354 4 ci,"Ly 78/50f42 s+Z tpm 1100 st. 3,5 (EC)","220,0",,45,,17/04/2023,2,,24/04/2023,"240,700",Vero
MARYGOLD,164,4423DN,"Ly44/8f5 DC tpm 2800 st. 3,8 (DI)","700,0",,36,15/11/2024,18/05/2023,3,,17/07/2023,"258,6600",Vero
,,,,,,12,10/10/2024,19/04/2023,3,,18/06/2023,"452,6550",
,,,,,,67,11/11/2024,06/04/2023,3,,05/06/2023,"266,7431",
CALZIFICIO ATHENA,165,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","420,0",11/05/2023,70,05/12/2024,17/04/2023,2,,27/04/2023,"440,2200",Vero
GIZETA,167,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","550,0",,18,06/10/2024,17/04/2023,4,,15/05/2023,"980,4200",Vero
CALZE OLONA,169,4449S+ZN,"Cr 44/22f7 S+Z tpm 1550 st. 3,1 (DB)","130,0",01/05/2023,17,31/12/2024,26/04/2023,2,,10/05/2023,"279,9390",Vero
SANYLEG,171,X21-15696V8DN,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)","230,0",05/06/2023,67,11/11/2024,19/05/2023,4,,30/07/2023,"937,9013",Vero
DIAMANT,170,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","30,0",,38,,19/05/2023,1,,20/05/2023,"206,8300",Vero
SANYLEG,172,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)","200,0",05/06/2023,42,,05/06/2023,,,,,Vero
SANYLEG,173,X22-7801DN,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)","180,0",05/06/2023,64,12/10/2024,02/05/2023,2,,04/06/2023,"548,7300",Vero
DIAMANT,174,23504DN-Q5143,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","180,0",,,,,,,,,Vero
DIAMANT,175,94003DN-2000,"Cr940/167f48 bianco tpm 800 dc st.  3,3 (DD)","3,0",,,,,,,,,Vero
DIAMANT,176,23504DN-Q7300,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","5,0",,39,09/10/2024,04/07/2023,1,,06/07/2023,"245,5200",Vero
DIAMANT,177,94003DN-Q7300,"Cr940/167f48 alabaster tpm 800 dc st.  3,3 (DD)","3,0",,,,,,,,,Vero
SANYLEG,168,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8","1,0",08/05/2023,,,,,,,,Vero
CALZIFICIO LUISA,151,2246ZN 13500,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)","6,0",,,,,,,,,Vero
DIAMANT,180,23504DN-Q5143,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","210,0",07/06/2023,38,,02/05/2023,2,,06/05/2023,"491,0400",Vero
DIAMANT,181,94003DN-Q5143,"Cr940/167f48 hyper turq tpm 800 dc st.  3,3 (DD)","5,0",07/06/2023,C1,,14/06/2023,1,,14/06/2023,"10,2253",Vero
T & T,183,X21-20098DN-VARI COL,"Ro200/44f13 DC tpm 1150 st. 4,2 (EC)","80,0",,,,,,,,,Vero
SCORTA,184,1725DN,"Cr17/78f46 dc tpm 900 2,6 (CG)","500,0",01/06/2023,38,,20/05/2023,2,,30/05/2023,"416,5200",Vero
CALZE OLONA,185,7010ZF,"Ly78/22f7 Z tpm 900 st. 4,2 (EC)","300,0",15/05/2023,45,,12/05/2023,2,,22/05/2023,"311,5200",Vero
FF,186,4461SF,"Cr44/110f24 S tpm 600 st. 3,2 (DC)","200,0",,60,,09/05/2023,1,,11/05/2023,"222,2550",Vero
DIAMANT,188,23503DN-5000,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)","540,0",,38,,15/06/2023,3,,20/06/2023,"653,0580",Vero
DIAMANT,189,94003DN-5000,"Cr940/167f48 nero tpm 800 dc st.  3,3 (DD)","15,0",,C1,,14/06/2023,1,,14/06/2023,"10,2253",Vero
ATHENA,190,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","420,0",05/06/2023,70,05/12/2024,06/06/2023,4,,26/06/2023,"880,4400",Vero
FGP,191,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8","1.300,0",,69,18/10/2024,18/05/2023,,,,,Vero
CALZIFICIO ARGOPI,195,2278ZN1,"Ly22/78f68 Z tpm 600 st. 3,2 (DC)","200,0",15/05/2023,72,21/11/2024,31/05/2023,2,,06/06/2023,"473,7150",Vero
MAXIS,197,1731DN,"K17/22f20 DC tpm 1600 st. 2,8 (CI)","200,0",20/06/2023,69,18/10/2024,07/05/2023,6,,29/06/2023,"609,9792",Vero
DIAMANT,198,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","15,0",23/06/2023,39,09/10/2024,19/07/2023,1,,21/07/2023,"245,5200",Vero
DIAMANT,199,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","3,0",23/06/2023,C2,,18/07/2023,1,,18/07/2023,"13,6338",Vero
MARYGOLD,210,2268S+ZN,"K22/22f20 S+Z tpm 2300 st. 2,8 (CI)","16,0",10/06/2023,C3,,03/06/2023,1,,19/06/2023,"1,9147",Vero
ALLERGO SYSTEM,208,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","43,0",,,,,,,,,Vero
FGP,218,X22-31002V7DN_1,"Cr310/78f68 dc tpm 1200 st. 2,7(CH)","300,0",04/09/2023,38,,01/07/2023,7,,24/08/2023,"3.490,4800",Vero
ATHENA,190,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","1.350,0",31/08/2023,70,05/12/2024,26/06/2023,5,,21/07/2023,"1.100,5500",Vero
DIAMANT,214,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","3,0",,C2,,27/07/2023,1,,27/07/2023,"13,6338",Vero
DIAMANT,215,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","65,0",,39,09/10/2024,18/07/2023,1,,20/07/2023,"245,5200",Vero
DIAMANT,216,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","60,0",,39,09/10/2024,27/07/2023,1,,29/07/2023,"245,5200",Vero
DIAMANT,159,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","110,0",,,,,,,,,Vero
CALZIFICIO CREMONA,50,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","240,0",,,,,,,,,Vero
TRERE' INNOVATION,219,20098DN-VARI COL,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)","60,0",,38,,21/06/2023,1,,23/06/2023,"78,6600",Vero
FALKE,221,X20-2219ZF1 11gg,"K22/11f7 recy 50 S+Z  tpm 1900 st. 2,8 (CI)","40,0",,,,,,,,,Vero
MICHELE LETIZIA,222,X22-7806S+ZN,"Ly 78/44f72 Z tpm 900 st. 4,0 (EA)","706,0",07/06/2023,45,,08/06/2023,5,,28/06/2023,"739,3500",Vero
FALKE,220,X21-2273ZF2 11 gg,"K22/11f7 recy 50 S+Z  tpm 1900 st. 2,8 (CI)","40,0",,14,,24/06/2023,1,,04/07/2023,"86,0200",Vero
CALZIFICIO TREVER,207,4459DN 20700,"K44/8f5 dc tpm 2000 st. 2,9 (CL)","1.000,0",03/07/2023,68,,05/06/2023,3,,07/08/2023,"436,5900",Vero
DIAMANT,200,39502DN-61,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","30,0",06/06/2023,37,01/10/2024,04/06/2023,1,,05/06/2023,"206,8300",Vero
DIAMANT,201,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","3,0",,C2,,07/06/2023,1,,09/06/2023,"30,6900",Vero
DIAMANT,202,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","4,0",,C3,,07/06/2023,1,,07/06/2023,"13,6338",Vero
MARYGOLD,203,2223DN,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)","170,0",,1,,30/05/2023,1,,18/06/2023,"125,1338",Vero
DIAMANT,204,23504DN-Q5143,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","280,0",,39,09/10/2024,30/06/2023,2,,04/07/2023,"491,0400",Vero
DIAMANT,205,94003DN-Q5143,"Cr940/167f48 hyper turq tpm 800 dc st.  3,3 (DD)","8,0",,C1,,30/06/2023,1,,30/06/2023,"10,2253",Vero
DIAMANT,206,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","12,0",,39,09/10/2024,19/07/2023,1,,21/07/2023,"245,5200",Vero
RADICI,209,X22-2209ZN,"Cr22/78f68 Z tpm 600 st. 3,2 (DC)","220,0",,58,05/12/2024,12/06/2023,1,,15/06/2023,"219,8109",Vero
TUBLA D.O.O.,211,28503ZN,"Ly285/78f68 Z tpm 726 st. 4,6 (EG)","1.100,0",,43,29/09/2024,07/06/2023,4,,19/06/2023,"1.146,2400",Vero
MAGLIFICIO FASIROTEX,212,X23-39598DN,"Ly 395/78f18x2 dc tpm 1000 st. 3,6 (DG)","10,0",,,,,,,,,Vero
ALPIN CORAP,213,23505DN1,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)","5,0",,,,,,,,,Vero
T.A.T SRL,223,S16-60015V2DN2,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)","145,0",,39,09/10/2024,01/07/2023,2,,05/07/2023,"216,4800",Vero
TRERE' INNOVATION,162,20098DN,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)","30,0",,,,,,,,,Vero
DIAMANT,200,39502DN-61,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","30,0",,,,,,,,,Vero
MARYGOLD,194,2273S+Z,"KL22/16f10 S+Z tpm 1400 st. 2,75 (CHF)","260,0",,17,31/12/2024,26/05/2023,2,,13/06/2023,"246,8132",Vero
ALLERGO SYSTEM,208,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","45,0",,,,,,,,,Vero
CALZIFICIO ARGOPI,224,X17-20099ZN,"Ly200/33f20 Z tpm 900 st. 4,2 (EC)","100,0",,,,,,,,,Vero
SCORTA,225,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)","1.120,0",,23,,20/06/2023,10,,20/07/2023,"1.120,00",Vero
SCORTA,226,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)","440,0",,24,22/10/2024,26/06/2023,4,,12/07/2023,"465,00",Vero
DIAMANT,227,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","5,0",,C2,,31/07/2023,,,,,Vero
