N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19792,13/05/2024 18:03:37,30/05/2024 07:18:25,,"397,2200","5008,3800","12,6086","128,2500","39,0500","8,5900",,24/93102-F3
,,+,21,X21-1796ZN ''la mc è in s+z utilizzato solo piano inf,,256,17657,11/05/2024 10:03:26,18/05/2024 21:19:09,,"179,200","766,200","4,2757",,,,X21-1796ZN ''la mc è in s+z utilizzato solo piano inf,
,,+,21,4412SN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)",256,21071,30/05/2024 07:59:18,10/06/2024 23:32:54,,"279,5500","3627,9400","12,9778","127,9100","28,3600","6,2400",,24/73301-CS2
,,+,22,2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",,18458,04/05/2024 06:54:35,17/05/2024 03:26:09,17/05/2024 10:00:00,"308,4800","3282,6300","10,6413","117,2200","28,0100","6,1600",MOB.KL22 USATO VA 1 CICLO,23/62705-CS5+10
,,+,22,2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",256,18459,17/05/2024 10:13:13,31/05/2024 05:33:01,,"331,300","3486,9600","10,5251","126,300","27,6100","6,0700",,24/85402-C10
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19325,03/05/2024 15:57:43,06/05/2024 11:29:15,,"67,5200","779,8300","11,5496","102,6300","7,600","1,6700",2 LOTTI SPANDEX,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19271,13/05/2024 15:43:24,16/05/2024 16:13:26,,"72,500","985,5700","13,5941","111,0100","8,8800","1,9500",2 LOTTI SPANDEX,24/88303/01-F1
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19328,16/05/2024 16:16:41,19/05/2024 11:53:41,,"67,5200","725,5700","10,7460","102,9700","7,0500","1,5500",,24/88303/01-F1
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",256,19278,20/05/2024 15:14:29,23/05/2024 16:10:40,,"72,9500","999,0800","13,6954","111,3300","8,9700","1,9700",,23/51107-F1
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",256,19329,23/05/2024 16:13:50,26/05/2024 11:15:54,,"67,0300","727,2100","10,8490","102,5800","7,0900","1,5600",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",256,19272,28/05/2024 14:37:37,31/05/2024 15:38:56,,"73,0300","999,5300","13,6866","111,4300","8,9700","1,9700",,24/88304-F1
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",256,19329,31/05/2024 15:42:09,03/06/2024 12:14:19,,"68,400","747,8300","10,9332","104,6700","7,1500","1,5700",,
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18449,11/05/2024 07:03:25,19/05/2024 22:22:12,,"207,3200","2614,7300","12,6120","121,7700","21,4700","4,7200",NO NODI SOST TUB ALLA ROTTURA       ,24/89205-F1
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18448,21/05/2024 13:28:44,30/05/2024 13:51:20,,"216,3700","2723,8300","12,5888","127,0800","21,4300","4,7200",NO NODI SOST TUB ALLA ROTTURA       ,24/79003-F3
,,+,24,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18451,30/05/2024 15:18:12,08/06/2024 12:04:40,,"212,6200","2647,8800","12,4536","124,900","21,200","4,6600",NO NODI SOST TUB ALLA ROTTURA       ,24/72101-F3
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",,18382,07/05/2024 13:34:41,16/05/2024 05:55:57,,"208,2300","2746,8900","13,1916","122,6500","22,400","4,9300",NO NODI SOST TUB ALLA ROTTURA      ,24/79002-F1
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18384,16/05/2024 19:18:31,25/05/2024 06:51:30,,"203,4200","2723,8800","13,3904","119,0600","22,8800","5,0300",NO NODI SOST TUB ALLA ROTTURA      ,24/78402-F3
,,+,25,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",256,18386,25/05/2024 08:25:27,03/06/2024 04:56:26,,"212,3700","2816,300","13,2613","124,3100","22,6500","4,9800",NO NODI SOST TUB ALLA ROTTURA      ,24/89206-F3
,,+,26,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19821,14/05/2024 15:54:10,31/05/2024 02:56:26,,"395,0200","3939,2300","9,9722","127,7300","30,8400","6,7800",,
,,+,27,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21092,11/05/2024 08:38:40,21/05/2024 22:05:59,,"253,4200","2706,0600","10,6782","90,3300","29,9600","6,5900",,24/90905-F1+M4
,,+,27,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21093,24/05/2024 11:00:08,04/06/2024 10:18:10,,"263,2200","2836,5400","10,7763","93,8200","30,2300","6,6500",X21-2099s+z mini,
,,+,28,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21031,09/05/2024 10:55:55,20/05/2024 11:40:42,,"264,7300","2801,5400","10,5826","94,0900","29,7800","6,5500",,24/94405-F1+M4
,,+,28,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21064,22/05/2024 12:40:15,02/06/2024 03:54:15,,"255,1200","2721,7900","10,6687","90,8100","29,9700","6,5900",,24/87105-M4
,,+,29,28503ZN,"Ly285/78f68 Z tpm 726 st. 4,6 (EG)",,13147,07/05/2024 11:17:38,10/05/2024 09:58:20,,"70,5800","843,4200","11,9498","266,8800","3,1600","0,6900",,24/82402-F3
,,+,29,CAMPIONE CREORA 130,,256,13155,11/05/2024 19:42:02,14/05/2024 18:12:57,,"70,4300","850,8200","12,0804",,,,CAMPIONE CREORA 130,
,,+,29,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",128,14502,30/05/2024 12:54:22,04/06/2024 08:48:28,,"115,8300","739,0900","6,3808","93,00","7,9500","1,7500",CAMPIONE CREORA 130,24/93404-F1
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14496,02/05/2024 15:48:39,07/05/2024 05:15:53,,"109,4500","942,8300","8,6143","175,7200","5,3700","1,1800",SCARICARE SUL CARRELLO,23/66707-F1
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14493,07/05/2024 12:45:42,12/05/2024 09:46:51,,"116,8300","1019,4600","8,7260","187,5800","5,4300","1,200",SCARICARE SUL CARRELLO,23/66707-F1
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14492,12/05/2024 17:35:09,17/05/2024 06:03:25,,"108,400","944,8900","8,7167","174,0400","5,4300","1,1900",SCARICARE SUL CARRELLO,24/62807-F3
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14496,17/05/2024 08:30:29,27/05/2024 09:31:18,,"229,3200","1981,7700","8,6419","368,0700","5,3800","1,1800",SCARICARE SUL CARRELLO,23/66708-F1
,,+,30,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14494,27/05/2024 20:08:37,01/06/2024 07:43:05,,"107,4300","929,1900","8,6493","168,3300","5,5200","1,2100",SCARICARE SUL CARRELLO,23/62808-F1
,,+,31,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",,10865,02/05/2024 07:12:18,06/05/2024 01:03:20,,"89,6800","793,4900","8,8480","202,7700","3,9100","0,8600",CREORA 22 usata va 4 cicli,24/94204 F3
,,+,31,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",,10867,06/05/2024 16:00:48,10/05/2024 03:01:56,,"82,9800","718,9900","8,6646","187,6300","3,8300","0,8400",CREORA 22 usata va 4 cicli,24/84003-F2
,,+,31,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",,10864,14/05/2024 08:52:32,17/05/2024 22:42:59,,"85,700","725,3300","8,4636","193,7700","3,7400","0,8200",CREORA 22 usata va 4 cicli,24/94205-F2
,,+,31,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",256,12988,27/05/2024 14:46:44,01/06/2024 08:50:32,,"113,8800","1239,8700","10,8875","195,8700","6,3300","1,3900",creora 44 usata va 2 cicli,24/73001-F2
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14573,03/05/2024 10:34:07,07/05/2024 13:53:20,,"99,1500","907,7600","9,1554","107,9300","8,4100","1,8500",SCARICARE SUL CARRELLO,24/77401 F3
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14573,07/05/2024 15:46:13,12/05/2024 10:20:47,,"114,5800","1016,8300","8,8744","183,9600","5,5300","1,2200",SCARICARE SUL CARRELLO,24/77401 F3
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14573,13/05/2024 09:34:15,18/05/2024 06:10:59,,"116,500","1030,2200","8,8431","187,0400","5,5100","1,2100",SCARICARE SUL CARRELLO,24/85604-F2
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14574,18/05/2024 11:35:02,22/05/2024 23:43:53,,"108,0200","983,8900","9,1084","170,1800","5,7800","1,2700",SCARICARE SUL CARRELLO,24/74601-F1
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14575,23/05/2024 10:19:56,28/05/2024 06:28:50,,"116,0300","1039,9400","8,9627","187,2600","5,5500","1,2200","SCARICARE SUL CARRELLO
FERMATA A TEMPO 115H                              PROVA CONSUMI                                            PARTIRE CON SPOLE FADIS3",24/97705-F3
,,+,32,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14574,28/05/2024 13:38:20,02/06/2024 08:45:44,,"115,0200","1028,2800","8,9400","181,2100","5,6700","1,2500","SCARICARE SUL CARRELLO
FERMATA A TEMPO 115H                              PROVA CONSUMI                                            PARTIRE CON SPOLE FADIS3",24/77402-F3
,,+,33,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21163,03/05/2024 12:24:39,14/05/2024 11:28:54,,"263,00","2859,800","10,8738","92,4400","30,9400","6,8100",,24/80202 M4
,,+,33,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21168,15/05/2024 12:52:38,26/05/2024 03:25:39,,"254,3800","2789,6300","10,9664","91,00","30,6600","6,7500",,24/89304-M4
,,+,33,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21141,28/05/2024 09:35:51,08/06/2024 06:06:26,,"260,4200","2868,9100","11,0165","93,0400","30,8400","6,7800",,24/94406-M4
,,+,34,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",,21126,06/05/2024 12:33:10,17/05/2024 11:18:08,,"262,7300","2959,2300","11,2634","92,3500","32,0400","7,0500",,24/87104-F1+M4
,,+,34,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21129,17/05/2024 14:02:49,28/05/2024 06:06:36,,"256,0500","2892,2300","11,2956","91,4200","31,6300","6,9600",,24/80302-M4
,,+,34,X21-2099S+ZN mini,"Ly 20/13f10 S+Z tpm 1900 st. 2,8 (CI)",256,21129,31/05/2024 09:07:50,11/06/2024 10:24:00,,"265,1700","2963,9500","11,1775","94,6800","31,3100","6,8900",,24/90103-M4
,,+,35,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)",240,20978,07/05/2024 09:52:54,14/05/2024 11:51:30,,"169,8300","2593,8200","15,2730","90,7500","28,5800","6,2900",,24/80402-F3
,,+,35,X23-2280s+z,,240,20987,14/05/2024 15:00:35,21/05/2024 18:44:39,,"171,6300","2625,0900","15,2951",,,,X23-2280s+z,
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13508,23/05/2024 14:23:07,28/05/2024 12:51:12,,"118,4300","1451,8300","12,2590","214,100","6,7800","1,4900",,24/73701-F2
,,+,35,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",256,13488,30/05/2024 10:11:37,04/06/2024 11:25:56,,"121,1200","1468,4100","12,1236","218,6300","6,7100","1,4800",,24/72301-F2
,,+,36,X23-7892DN mini,"Ly 78/13f7 dc tpm 1750 st. 3,8 (DI)",,19786,09/05/2024 12:46:41,18/05/2024 14:35:52,,"217,7300","1855,4800","8,5219","87,6500","21,1600","4,6600",,24/76801-F3
,,+,36,X23-1299DN mini,"Ly 12/8f5 dc tpm 2600 st. 2,6 (CG)",256,20196,20/05/2024 11:05:24,13/06/2024 07:30:49,,"572,3700","4915,3300","8,5877","70,6700","69,5500","15,300",RACCOLTA DIRETTA TASSATIVO TESTA CODA,24/81802-M8
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,03/05/2024 09:58:42,04/05/2024 03:49:52,,"17,7700","70,6600","3,9764","75,9500","0,9300","0,2100",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,,06/05/2024 10:40:16,07/05/2024 04:31:28,,"17,8300","60,8900","3,4150","76,2100","0,800","0,00",,
,,+,37,S15-160018DN,"Mu1600/50/1 kevlar DC tpm 800 st. 5,0 (FA)",256,7000,16/05/2024 14:40:27,17/05/2024 19:10:12,,"28,400","187,400","6,5986","140,0300","1,3400","0,2900",,24/75101-F2
,,+,37,S15-160018DN,"Mu1600/50/1 kevlar DC tpm 800 st. 5,0 (FA)",256,7000,22/05/2024 13:11:33,23/05/2024 17:30:00,,"28,1500","126,4200","4,4909","138,7900","0,9100","0,200",,24/75102-F2
,,+,37,S15-160018DN,"Mu1600/50/1 kevlar DC tpm 800 st. 5,0 (FA)",256,7000,28/05/2024 14:51:38,29/05/2024 18:03:54,,"27,1300","119,7500","4,4139","133,7800","0,900","0,200",,24/75103-F3
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8095,02/05/2024 14:39:39,03/05/2024 13:59:54,,"23,2700","107,1100","4,6029","78,6900","1,3600","0,300",finisce lycra all 11 ciclo,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8095,04/05/2024 12:46:59,05/05/2024 11:58:31,,"23,0500","109,6700","4,7579","77,9500","1,4100","0,3100",finisce lycra all 11 ciclo,24/82107 F2
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8093,07/05/2024 11:22:07,08/05/2024 10:31:04,,"23,00","103,5700","4,5030","65,5500","1,5900","0,3500",finisce lycra all 11 ciclo,24/82108-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",,8281,10/05/2024 09:38:33,11/05/2024 08:51:30,,"23,1700","92,5200","3,9931","59,8600","1,5500","0,3400",,24/76201-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",,8276,13/05/2024 09:09:02,14/05/2024 08:06:36,,"22,9200","88,1300","3,8451","59,2200","1,4900","0,3300",,24/76101-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",,8277,15/05/2024 09:09:06,16/05/2024 07:59:57,,"22,7800","89,0500","3,9091","58,8700","1,5100","0,3300",,24/76202-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",256,8273,17/05/2024 14:01:02,18/05/2024 13:17:27,,"23,1300","95,2200","4,1167","60,3100","1,5800","0,3500",,24/76102-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",256,8270,21/05/2024 12:33:10,22/05/2024 11:11:37,,"22,5700","87,2700","3,8666","58,8100","1,4800","0,3300",,24/76203-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",256,8276,23/05/2024 09:03:43,24/05/2024 07:52:47,,"22,7200","85,1500","3,7478","59,2400","1,4300","0,3200",,24/76103-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",256,8272,24/05/2024 12:30:28,25/05/2024 11:10:09,,"22,5300","92,3900","4,1008","58,7400","1,5700","0,3400",,24/76204-F2
,,+,38,S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",232,8274,27/05/2024 16:09:11,28/05/2024 15:07:53,,"22,9700","84,6400","3,6848","54,2700","1,5700","0,3400",,
,,+,38,S21-60091V3DN   A230,"Muriel 600/70/62f18 dc tpm 900 stiro 2,2 (CC)",144,10356,29/05/2024 15:14:41,30/05/2024 11:37:18,,"20,2300","93,8400","4,6387","53,0500","1,7700","0,3900",,
,,+,38,s21-60091V3dn,,256,10357,30/05/2024 13:19:41,31/05/2024 09:18:03,,"19,8200","94,9300","4,7896",,,,s21-60091V3dn,
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",,13141,02/05/2024 10:40:54,04/05/2024 08:52:37,,"46,200","396,9300","8,5916","127,3200","3,1100","0,00",,
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",,13194,04/05/2024 08:53:51,06/05/2024 03:18:15,,"42,300","277,2100","6,5534","7,5200","36,8200","8,100",,24/78001 F3
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",,13161,06/05/2024 10:12:00,08/05/2024 10:53:38,,"48,6800","377,4100","7,7529","134,9200","2,7900","0,6100",,24/78002-F3
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",,13205,08/05/2024 11:01:55,10/05/2024 03:24:51,,"40,2800","262,6400","6,5204","109,8300","2,3900","0,5300",,24/78002-F3
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",,13132,16/05/2024 13:47:20,18/05/2024 12:21:25,,"46,5700","399,7800","8,5845","128,6800","3,1100","0,6800",,24/93302-F3
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13190,18/05/2024 12:32:53,20/05/2024 07:09:43,,"42,4800","281,4500","6,6255","117,5200","2,3900","0,5300",,24/93302-F3
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13129,21/05/2024 08:56:35,23/05/2024 08:31:07,,"47,5700","408,6900","8,5913","130,9800","3,1200","0,6900",,24/78009-F3
,,+,39,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",256,13188,23/05/2024 08:40:23,25/05/2024 02:01:04,,"41,2200","275,4100","6,6815","114,00","2,4100","0,5300",,
,,+,39,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8",256,11922,27/05/2024 11:35:52,29/05/2024 13:12:10,,"49,600","429,8700","8,6667","167,0800","2,5700","0,5700",,24/99203-F3
,,+,39,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8",256,12011,29/05/2024 13:21:22,31/05/2024 10:59:02,,"45,500","291,8700","6,4147","154,4100","1,8900","0,4200",,
,,+,39,39502DN2,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",256,11392,31/05/2024 13:17:57,01/06/2024 08:39:45,,"19,2500","107,4100","5,5797","103,5200","1,0300","0,2300",,24/72001-F2+24/73501-F3
,,+,40,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8",,13734,03/05/2024 13:49:00,05/05/2024 23:22:59,,"57,4500","747,4600","13,0106","72,1700","10,3500","2,2800",,
,,+,40,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8",,13772,06/05/2024 09:49:45,08/05/2024 09:01:03,,"47,0300","411,400","8,7476","86,2400","4,7700","1,0500",,LEVATA
,,+,40,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8",,13520,08/05/2024 11:13:14,10/05/2024 15:48:23,,"52,600","671,1100","12,7587","97,0600","6,9100","1,5200",,24/77502-F3
,,+,40,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8",,13668,10/05/2024 15:59:54,12/05/2024 20:51:58,,"52,7200","468,8800","8,8938","5,500","85,2900","18,7600",CICLO 2GG + 9H,24/77502-F3
,,+,40,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8",,13732,14/05/2024 14:51:51,16/05/2024 18:17:56,,"51,3700","316,8600","6,1682","94,1800","3,3700","0,7400",CICLO 2GG + 9H,24/77503-F3
,,+,40,31003DN220274 dm84,"Ly310/78f68 dc tpm 1200 st. 3,8",,13622,17/05/2024 09:12:40,19/05/2024 09:28:36,,"48,2300","321,2200","6,6602","110,4300","2,9100","0,6400",,24/74901-F2+24/74801-F3
,,+,40,31003DN220274 dm84,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13630,20/05/2024 12:28:30,23/05/2024 00:40:21,,"47,500","294,2500","6,1947","109,800","2,6800","0,5900",+ CAMPIONATURA NEGRO,24/74501-F2
,,+,40,31003DN220274 dm84,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13629,23/05/2024 11:56:38,25/05/2024 11:55:12,,"47,8700","309,400","6,4633","110,6400","2,7900","0,6100",il 30-05 mettere spoloni,24/73601+24/74902-F2
,,+,40,31003DN220274 dm84,"Ly310/78f68 dc tpm 1200 st. 3,8",256,13629,28/05/2024 13:04:04,30/05/2024 13:18:32,,"48,1700","303,0100","6,2904","111,3300","2,7200","0,600",,24/74502-F1
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19937,03/05/2024 15:44:25,07/05/2024 10:42:15,,"90,900","1038,1100","11,4204","60,6800","17,1100","3,7600",,24/83803 C10
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19911,09/05/2024 14:38:59,13/05/2024 11:18:00,,"92,6500","1050,7400","11,3410","110,0200","9,5500","2,100",,24/76601-c10
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19927,13/05/2024 12:33:47,17/05/2024 10:10:56,,"93,4700","1058,100","11,3202","110,9900","9,5300","2,100",,24/84903-C10
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19930,17/05/2024 16:16:03,21/05/2024 12:45:39,,"92,3700","1053,8800","11,4093","111,5300","9,4500","2,0800",,24/83804-C10
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19933,23/05/2024 09:56:55,27/05/2024 07:50:44,,"93,7700","1069,2200","11,4026","113,2400","9,4400","2,0800",,24/76602-F3
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19922,27/05/2024 10:13:58,31/05/2024 07:37:13,,"93,2500","1057,4400","11,3398","112,5500","9,3900","2,0700",,24/88506-F1+10
,,+,41,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",256,19941,31/05/2024 14:31:36,04/06/2024 14:03:27,,"95,4500","1077,7900","11,2917","115,3200","9,3500","2,0600",,24/83704-F3
,,+,42,X24-31001DN366,"Ro 310/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16073,03/05/2024 13:41:52,07/05/2024 02:39:41,,"84,8200","739,0800","8,7135","16,3800","45,100","9,9200",ALTERNARE ART. X23-47097DNSAND +GREGGIO,24/81902 F1
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16107,07/05/2024 08:50:00,09/05/2024 21:14:09,,"60,3800","454,0800","7,5204","115,8800","3,9200","0,8600",ALTERNARE ART. X23-47097DNSAND +GREGGIO,24/83503-F1
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16104,10/05/2024 09:40:46,12/05/2024 18:25:44,,"56,700","431,2200","7,6053","108,8100","3,9600","0,8700","FINITO LE 2 LEVATE  DI GREGGIO, METTERE X 6 LEVATE IL SAND ",24/84805-F1
,,+,42,X23-47097DN1,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",,16102,13/05/2024 10:11:46,16/05/2024 01:16:54,,"63,0500","476,4700","7,5570","30,1800","15,7700","3,4700","FINITO LE 2 LEVATE  DI GREGGIO, METTERE X 6 LEVATE IL SAND ",24/79902-F1
,,+,42,X23-47097DN1,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16105,16/05/2024 11:11:34,18/05/2024 21:53:52,,"58,6200","455,8600","7,7765","113,2200","4,0300","0,8900","FINITO LE 2 LEVATE  DI GREGGIO, METTERE X 6 LEVATE IL SAND + RESIDUO GREGGIO",24/79802-F1
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16105,21/05/2024 10:23:42,24/05/2024 01:20:56,,"62,8700","478,7300","7,6146","121,4300","3,9400","0,8700",METTERE RESIDUO GREGGIO IL 24-5,
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16106,24/05/2024 09:36:24,26/05/2024 20:49:39,,"59,200","460,5700","7,7799","114,3600","4,0300","0,8900",,24/79903+24/84806-F1
,,+,42,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",256,16101,29/05/2024 10:14:33,31/05/2024 23:42:08,,"61,4500","469,6400","7,6426","118,6700","3,9600","0,8700",,24/83505-F1
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14610,03/05/2024 10:51:19,08/05/2024 05:16:12,,"114,4200","1054,3900","9,2151","183,700","5,7400","1,2600",,24/93403 F2
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14605,09/05/2024 15:00:21,14/05/2024 14:29:18,,"119,3500","1114,4900","9,3380","191,6200","5,8100","1,2800",,24/99802-F1
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",,14609,15/05/2024 15:38:45,20/05/2024 09:02:13,,"113,2700","1063,5600","9,3896","181,8500","5,8500","1,2900",abbiamo fatto sxb 9carrelli,23/61908-F1
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14612,20/05/2024 16:06:29,25/05/2024 09:29:32,,"113,3800","1049,6600","9,2579","183,4400","5,7200","1,2600",abbiamo fatto sxb 9carrelli,24/77702-F1
