N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,36,X20-2222DN2 mini,"KLC22 nero/11f7 recy nero dc tpm 2000 st. 2,9 (CL)",,20641,10/04/2024 12:30:55,28/04/2024 09:13:14,,"428,6700","4236,0100","9,8818","100,0600","42,3300","9,3100",la 2° levata solo 44 posizioni,
,,+,37,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)",60,19600,01/04/2024 07:32:53,04/04/2024 08:58:49,,"73,4300","851,1800","11,5917","25,0200","34,0200","7,4800",,
,,+,37,s22-700011DN,"Muriel 7000/167f36 dc tpm 550 st. 5,0 (FA)",,9000,04/04/2024 15:53:57,04/04/2024 23:01:12,,"6,9700","23,8300","3,4189","148,1200","0,1600","0,0400",,
,,+,37,s22-700011DN,"Muriel 7000/167f36 dc tpm 550 st. 5,0 (FA)",,9000,05/04/2024 14:31:38,05/04/2024 22:12:07,,"7,500","27,6100","3,6813","159,4600","0,1800","0,0400",,
,,+,37,S600A04DN,"Muriel 600/50/1/39 dc 700 st. 4,5 (EF)",214,7000,17/04/2024 13:12:54,18/04/2024 06:26:35,,"17,1300","61,8200","3,6089","61,2300","1,0100","0,2200",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,18/04/2024 10:29:39,19/04/2024 04:21:06,,"17,8200","64,400","3,6139","76,1700","0,8400","0,1800",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,19/04/2024 10:22:54,20/04/2024 04:06:27,,"17,6700","64,400","3,6446","75,5300","0,8500","0,1900",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,20/04/2024 11:01:24,21/04/2024 04:57:15,,"17,7800","70,1400","3,9449","76,0200","0,9200","0,200",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,23/04/2024 09:07:18,24/04/2024 02:40:41,,"17,5300","64,5400","3,6817","74,9500","0,8700","0,1900",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,24/04/2024 09:40:55,25/04/2024 03:09:47,,"17,4200","69,5200","3,9908","74,4600","0,9400","0,2100",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,27/04/2024 09:18:48,28/04/2024 02:56:06,,"17,500","70,4400","4,0251","74,8100","0,9400","0,2100",,
,,+,37,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",,7000,30/04/2024 11:19:40,01/05/2024 05:00:27,,"17,4800","69,2600","3,9622","74,7400","0,9200","0,200",,
,,+,38,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19913,03/04/2024 09:08:51,07/04/2024 09:30:55,,"96,2800","1185,1200","12,3091","24,2700","48,8200","10,7400",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8093,08/04/2024 13:13:13,09/04/2024 12:47:52,,"23,4200","107,6400","4,5961","79,200","1,3600","0,300",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8096,10/04/2024 09:16:13,11/04/2024 08:30:53,,"23,1500","104,1800","4,5002","78,2900","1,3300","0,2900",,
