Cliente,n. ordine cliente,n. ordine ns,data inserimento ordine,n. ordine interno,cod articolo,descrizione,quantità,data di consegna,nr. fusi,N° MC,n° levate,gg per produrre,data arrivo materia prima,Completamento ordine,prodotto kg,consegnato kg,giacenza prodotto finito,note,Evaso
FALKE,2058538,19261,14/10/2024,,2277DN,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)","840,0",07/01/2025,,,,,,,,,"250,0",,Falso
UTEXBEL,10454387,19279,24/10/2024,317,S19-60058V2DN,"Muriel 600/70/1/23 dc 1100 st. 4,5 (EF)","75,0",15/11/2024,256,1,"0,37","0,74",,16/11/2024,"12,63",,"0,0",lavorare prima questo ordine e solo dopo ordine n. 316,Falso
UTEXBEL,10454386,19280,24/10/2024,316,S19-60052DN,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)","512,0",15/11/2024,256,1,"4,09","7,84",,23/11/2024,"8,16",,"0,0","metri doppi 1 carrello da bobinatura = 2 levate in spiralatura - FINIRE NOMEX- 4 levate piene, 5 levata scarsissima per finire NOMEX",Falso
BBF GAMBETTI,158,19313,07/11/2024,,2011DN,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)","700,0",11/11/2024,,,,,,,,,,,Falso
SANYLEG,295,,12/09/2024,,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8","720,0",,,,,,,,,,,,Falso
FOCENZA FACTORY,6,19214,23/09/2024,276,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)","460,0",20/10/2024,256,1,"2,01","15,71",,01/12/2024,"3,66","252,60",,,Falso
FOCENZA FACTORY,6,19214,23/09/2024,277,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)","920,0",20/11/2024,256,1,"4,02","31,42",,16/12/2024,"3,66",,,SOLO TORSIONE S,Falso
FISHER & PAYKEL,148742,,07/10/2024,292,S19-60064V3DN,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)","90,0",,256,1,"1,01","0,8",,16/11/2024,"6,19",,, RIBOBINARE IN PROSSIMITA' DELLA DATA DI PARTENZA (MARZO 2025),Falso
FALKE,2058539,19262,14/10/2024,,749DN,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)","550,0",14/10/2024,,,,,,,,,"50,0",,Falso
SCORTA,,,19/09/2024,272,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)","960,0",,256,1,"8,04","102,56",,26/02/2025,"1,17",,,"ATTENZIONE- SE USIAMO SEMPRE LA BESTIA - MC61- SU CUI STA GIRANDO ADESSO, LE LEVATE DA FARE SARANNO 4 E NON 8",Falso
SCORTA,,,26/09/2024,280,2269ZN/F2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)","114,0",,256,1,"0,81","5,94",,21/11/2024,"2,4",,"0,0",Filato che potrebbe essere richiesto fissato- mettere  su tubetto del fissaggio ma NON FISSARE né ribobinare finchè non arriva l'ordine effettivo. - ATT.NE: prima di produrre verrà fatta una prova sul,Falso
CALZE OLONA,311024,19295,04/11/2024,320,X24-13003V2ZF1,"Ly 130-22f7x2 Z tpm 900 st. 3,5","220,0",15/11/2024,256,1,"1,44","4,2",,19/11/2024,"214,22","82,40","0,0","32 SPOLE GIA' FATTE - 1° LEVATA DA 256 SPOLE, 2° LEVATA DA 88 SPOLE",Falso
FGP,3556,19236,03/10/2024,,31004DN220379,"Cr310/78f68  dc tpm 1200 st. 2,7  (CH)","700,0",08/01/2025,,,,,,,,"466,80","1.040,0",,Falso
SCORTA,,,15/10/2024,304,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","80,0",,256,1,"0,61","0,56",,16/11/2024,"17,88","44,0","0,0",ci sono kg 24-25  di Muriel in casa- iniziare con questo che è in casa.,Falso
CALZIFICIO TREVER,1197896,19139,26/07/2024,,2271DN1,"MO 22/8f5DC3000 tmp st. 2,8 (CI)","1.500,0",26/07/2024,,,,,,,,"1.387,0","5.000,0",,Falso
CALZIFICIO TREVER,1184417,19088,28/06/2024,,2270SN,"KL22/11f5 S  tpm 1900 st. 2,8 (CI)","1.000,0",22/07/2024,,,,,,,,"527,0",,,Falso
CALZIFICIO TREVER,1184417,19088,28/06/2024,,2270ZN,"KL22/11f5 Z  tpm 1900 st. 2,8 (CI)","1.000,0",22/07/2024,,,,,,,,,,,Falso
